Date,Time,Open,High,Low,Close,Volume
2015/03/26,8:46,9580,9588,9573,9587,1647
2015/03/26,8:47,9587,9590,9586,9588,703
2015/03/26,8:48,9587,9592,9586,9590,558
2015/03/26,8:49,9590,9591,9586,9588,296
2015/03/26,8:50,9588,9590,9582,9582,296
2015/03/26,8:51,9583,9586,9581,9585,420
2015/03/26,8:52,9586,9587,9583,9585,279
2015/03/26,8:53,9586,9586,9583,9586,209
2015/03/26,8:54,9585,9586,9584,9584,163
2015/03/26,8:55,9584,9585,9583,9584,73
2015/03/26,8:56,9584,9586,9583,9585,159
2015/03/26,8:57,9584,9587,9584,9585,113
2015/03/26,8:58,9584,9585,9582,9583,94
2015/03/26,8:59,9583,9584,9581,9582,209
2015/03/26,9:00,9582,9583,9580,9582,143
2015/03/26,9:01,9583,9584,9568,9571,1178
2015/03/26,9:02,9571,9581,9567,9580,1197
2015/03/26,9:03,9580,9586,9580,9583,619
2015/03/26,9:04,9583,9588,9581,9587,448
2015/03/26,9:05,9588,9595,9586,9591,889
2015/03/26,9:06,9591,9592,9586,9590,310
2015/03/26,9:07,9590,9590,9582,9584,275
2015/03/26,9:08,9583,9587,9583,9585,272
2015/03/26,9:09,9586,9589,9585,9587,197
2015/03/26,9:10,9588,9592,9586,9588,385
2015/03/26,9:11,9589,9595,9587,9594,487
2015/03/26,9:12,9594,9600,9593,9599,868
2015/03/26,9:13,9598,9603,9597,9601,593
2015/03/26,9:14,9600,9605,9598,9604,586
2015/03/26,9:15,9605,9609,9601,9602,526
2015/03/26,9:16,9604,9604,9598,9601,421
2015/03/26,9:17,9602,9605,9601,9604,188
2015/03/26,9:18,9603,9606,9602,9606,188
2015/03/26,9:19,9606,9608,9604,9605,327
2015/03/26,9:20,9606,9608,9602,9602,115
2015/03/26,9:21,9602,9604,9601,9602,258
2015/03/26,9:22,9602,9604,9602,9603,103
2015/03/26,9:23,9603,9604,9596,9598,288
2015/03/26,9:24,9598,9601,9596,9599,222
2015/03/26,9:25,9600,9601,9597,9599,109
2015/03/26,9:26,9599,9601,9597,9598,161
2015/03/26,9:27,9598,9600,9598,9599,71
2015/03/26,9:28,9599,9603,9598,9602,214
2015/03/26,9:29,9603,9606,9600,9600,245
2015/03/26,9:30,9600,9600,9596,9599,193
2015/03/26,9:31,9598,9601,9595,9601,259
2015/03/26,9:32,9601,9602,9595,9601,151
2015/03/26,9:33,9600,9602,9598,9598,97
2015/03/26,9:34,9598,9602,9597,9601,153
2015/03/26,9:35,9601,9604,9600,9602,192
2015/03/26,9:36,9602,9603,9596,9599,106
2015/03/26,9:37,9599,9601,9597,9598,181
2015/03/26,9:38,9598,9601,9597,9601,112
2015/03/26,9:39,9601,9601,9598,9599,42
2015/03/26,9:40,9599,9602,9599,9601,148
2015/03/26,9:41,9602,9604,9599,9600,198
2015/03/26,9:42,9600,9601,9598,9599,54
2015/03/26,9:43,9598,9603,9597,9602,327
2015/03/26,9:44,9602,9603,9600,9600,55
2015/03/26,9:45,9601,9601,9587,9591,375
2015/03/26,9:46,9590,9600,9586,9596,770
2015/03/26,9:47,9597,9597,9592,9593,130
2015/03/26,9:48,9593,9596,9591,9594,107
2015/03/26,9:49,9593,9597,9593,9595,191
2015/03/26,9:50,9595,9596,9593,9593,71
2015/03/26,9:51,9594,9596,9593,9594,115
2015/03/26,9:52,9594,9595,9593,9595,72
2015/03/26,9:53,9594,9594,9591,9592,103
2015/03/26,9:54,9592,9593,9591,9592,47
2015/03/26,9:55,9592,9594,9592,9593,78
2015/03/26,9:56,9593,9596,9592,9596,228
2015/03/26,9:57,9595,9597,9595,9596,91
2015/03/26,9:58,9596,9599,9595,9599,185
2015/03/26,9:59,9598,9600,9597,9599,158
2015/03/26,10:00,9600,9600,9598,9599,139
2015/03/26,10:01,9600,9601,9598,9598,201
2015/03/26,10:02,9599,9599,9597,9598,45
2015/03/26,10:03,9598,9599,9596,9597,69
2015/03/26,10:04,9597,9597,9596,9596,5
2015/03/26,10:05,9596,9597,9595,9597,35
2015/03/26,10:06,9595,9597,9595,9596,62
2015/03/26,10:07,9596,9597,9595,9597,41
2015/03/26,10:08,9597,9600,9596,9598,145
2015/03/26,10:09,9597,9601,9597,9601,254
2015/03/26,10:10,9601,9603,9600,9602,281
2015/03/26,10:11,9603,9604,9601,9601,146
2015/03/26,10:12,9601,9602,9600,9601,74
2015/03/26,10:13,9601,9602,9600,9601,80
2015/03/26,10:14,9601,9603,9600,9603,142
2015/03/26,10:15,9603,9604,9602,9602,137
2015/03/26,10:16,9602,9604,9600,9601,148
