Date,Open,High,Low,Close,NextClose,LSTM_pred,predªº§PÂ_,¹ê»Úªº§PÂ_,·Ç½T/¿ù»~
2018/7/9,0.696696697,0.712406015,0.739880952,0.761230769,0.790769231,0.718529,¶^,º¦,¿ù»~
2018/7/10,0.786786787,0.755012531,0.798214286,0.790769231,0.734153846,0.763138,¶^,¶^,·Ç½T
2018/7/11,0.711711712,0.699874687,0.735119048,0.734153846,0.809846154,0.7061102,¶^,º¦,¿ù»~
2018/7/12,0.730930931,0.75877193,0.755952381,0.809846154,0.876307692,0.75413734,¶^,º¦,¿ù»~
2018/7/13,0.831831832,0.821428571,0.850595238,0.876307692,0.856,0.82725745,¶^,¶^,·Ç½T
2018/7/16,0.859459459,0.836466165,0.873809524,0.856,0.827076923,0.8330652,¶^,¶^,·Ç½T
2018/7/17,0.832432432,0.802005013,0.843452381,0.827076923,0.873846154,0.8037667,¶^,º¦,¿ù»~
2018/7/18,0.844444444,0.835213033,0.864285714,0.873846154,0.798153846,0.83470345,¶^,¶^,·Ç½T
2018/7/19,0.800600601,0.785087719,0.814880952,0.798153846,0.861538462,0.77892095,¶^,º¦,¿ù»~
2018/7/20,0.811411411,0.819548872,0.848809524,0.861538462,0.865230769,0.8192359,¶^,º¦,¿ù»~
2018/7/23,0.854654655,0.830200501,0.866071429,0.865230769,0.890461538,0.8320352,¶^,º¦,¿ù»~
2018/7/24,0.851651652,0.840225564,0.870833333,0.890461538,0.886769231,0.8441469,¶^,¶^,·Ç½T
2018/7/25,0.863063063,0.847744361,0.9,0.886769231,0.917538462,0.85371965,¶^,º¦,¿ù»~
2018/7/26,0.892492492,0.869047619,0.913095238,0.917538462,0.964923077,0.8760976,¶^,º¦,¿ù»~
2018/7/27,0.903903904,0.912280702,0.939880952,0.964923077,0.932923077,0.9117144,¶^,¶^,·Ç½T
2018/7/30,0.929129129,0.919799499,0.951190476,0.932923077,0.963076923,0.9082855,¶^,º¦,¿ù»~
2018/7/31,0.905705706,0.913533835,0.936904762,0.963076923,0.998769231,0.9107732,¶^,º¦,¿ù»~
