Θユら戳,ユ澄る,Θユ丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖
20200211,202002     ,84600,11625.0,11646.0,11623.0,11642.0,5480
20200211,202002     ,84700,11643.0,11652.0,11639.0,11652.0,2720
20200211,202002     ,84800,11651.0,11653.0,11646.0,11648.0,1484
20200211,202002     ,84900,11648.0,11649.0,11641.0,11644.0,1136
20200211,202002     ,85000,11644.0,11645.0,11640.0,11643.0,642
20200211,202002     ,85100,11644.0,11644.0,11634.0,11639.0,1654
20200211,202002     ,85200,11639.0,11642.0,11635.0,11639.0,570
20200211,202002     ,85300,11639.0,11639.0,11634.0,11637.0,368
20200211,202002     ,85400,11636.0,11640.0,11635.0,11638.0,406
20200211,202002     ,85500,11637.0,11638.0,11635.0,11636.0,328
20200211,202002     ,85600,11636.0,11637.0,11628.0,11633.0,1542
20200211,202002     ,85700,11633.0,11640.0,11632.0,11637.0,926
20200211,202002     ,85801,11637.0,11639.0,11635.0,11636.0,396
20200211,202002     ,85900,11637.0,11637.0,11631.0,11634.0,696
20200211,202002     ,90000,11633.0,11634.0,11630.0,11632.0,590
20200211,202002     ,90100,11632.0,11635.0,11620.0,11629.0,3112
20200211,202002     ,90200,11629.0,11635.0,11620.0,11630.0,1582
20200211,202002     ,90300,11629.0,11638.0,11626.0,11638.0,1508
20200211,202002     ,90400,11638.0,11642.0,11634.0,11635.0,1514
20200211,202002     ,90500,11634.0,11638.0,11632.0,11638.0,1190
20200211,202002     ,90600,11638.0,11641.0,11629.0,11630.0,1490
20200211,202002     ,90700,11630.0,11631.0,11613.0,11621.0,3760
20200211,202002     ,90800,11621.0,11625.0,11615.0,11617.0,1456
20200211,202002     ,90900,11617.0,11628.0,11613.0,11628.0,1952
20200211,202002     ,91000,11628.0,11628.0,11620.0,11626.0,796
20200211,202002     ,91100,11626.0,11634.0,11626.0,11627.0,1268
20200211,202002     ,91200,11628.0,11636.0,11624.0,11634.0,1202
20200211,202002     ,91300,11634.0,11635.0,11626.0,11629.0,800
20200211,202002     ,91400,11629.0,11631.0,11619.0,11622.0,958
20200211,202002     ,91500,11622.0,11633.0,11622.0,11633.0,1064
20200211,202002     ,91600,11631.0,11636.0,11627.0,11636.0,1378
20200211,202002     ,91700,11636.0,11649.0,11636.0,11644.0,4072
20200211,202002     ,91800,11644.0,11647.0,11639.0,11647.0,1290
20200211,202002     ,91900,11647.0,11660.0,11647.0,11659.0,4380
20200211,202002     ,92000,11659.0,11663.0,11654.0,11660.0,2320
20200211,202002     ,92100,11660.0,11663.0,11654.0,11660.0,1734
20200211,202002     ,92200,11660.0,11661.0,11650.0,11656.0,1566
20200211,202002     ,92300,11657.0,11661.0,11645.0,11649.0,1862
20200211,202002     ,92400,11647.0,11650.0,11641.0,11644.0,1428
20200211,202002     ,92500,11644.0,11649.0,11643.0,11645.0,830
20200211,202002     ,92600,11645.0,11647.0,11641.0,11643.0,730
20200211,202002     ,92700,11644.0,11645.0,11641.0,11642.0,414
20200211,202002     ,92800,11642.0,11648.0,11633.0,11639.0,1968
20200211,202002     ,92900,11640.0,11641.0,11635.0,11641.0,878
20200211,202002     ,93000,11640.0,11640.0,11635.0,11635.0,500
20200211,202002     ,93100,11636.0,11645.0,11632.0,11641.0,1584
20200211,202002     ,93200,11641.0,11650.0,11640.0,11647.0,1142
20200211,202002     ,93300,11646.0,11655.0,11645.0,11647.0,1030
20200211,202002     ,93400,11646.0,11646.0,11638.0,11641.0,1002
